"Oceania","regions","","","0","","","Oceania","","http://aims.fao.org/aos/geopolitical.owl#Oceania","Oceania"
"","regions","","","0","","","","","",""
"Pacific Islands Forum","regions","","","0","","","Pacific Islands Forum","","http://aims.fao.org/aos/geopolitical.owl#PIF","PIF"
"","regions","","","0","","","","","",""
"Polynesia","regions","","","0","","","Polynesia","","http://aims.fao.org/aos/geopolitical.owl#Polynesia","Polynesia"
"","regions","","","0","","","","","",""
"Small Island Developing States","regions","","","0","","","Small Island Developing States","","http://aims.fao.org/aos/geopolitical.owl#SIDS","SIDS"
"","regions","","","0","","","","","",""
"South America","regions","","","0","","","South America","","http://aims.fao.org/aos/geopolitical.owl#South_America","South America"
"","regions","","","0","","","","","",""
"South Asian Association for Regional Cooperation","regions","","","0","","","South Asian Association for Regional Cooperation","","http://aims.fao.org/aos/geopolitical.owl#SAARC","SAARC"
"south-eastern Asia","regions","","","0","","","south-eastern Asia","","http://aims.fao.org/aos/geopolitical.owl#south-eastern_Asia","south-eastern Asia"
"","regions","","","0","","","","","",""
"Southern African Development Community","regions","","","0","","","Southern African Development Community","","http://aims.fao.org/aos/geopolitical.owl#SADC","SADC"
"","regions","","","0","","","","","",""
"southern Asia","regions","","","0","","","southern Asia","","http://aims.fao.org/aos/geopolitical.owl#southern_Asia","southern Asia"
"","regions","","","0","","","","","",""
"Southern Common Market","regions","","","0","","","Southern Common Market","","http://aims.fao.org/aos/geopolitical.owl#MERCOSUR","MERCOSUR"
"","regions","","","0","","","","","",""
"southern Europe","regions","","","0","","","southern Europe","","http://aims.fao.org/aos/geopolitical.owl#southern_Europe","southern Europe"
"","regions","","","0","","","","","",""
"West African Economic and Monetary Union","regions","","","0","","","West African Economic and Monetary Union","","http://aims.fao.org/aos/geopolitical.owl#UEMOA","WAEMU"
"","regions","","","0","","","","","",""
"western Africa","regions","","","0","","","western Africa","","http://aims.fao.org/aos/geopolitical.owl#western_Africa","western Africa"
"western Asia","regions","","","0","","","western Asia","","http://aims.fao.org/aos/geopolitical.owl#western_Asia","western Asia"
"western Europe","regions","","","0","","","western Europe","","http://aims.fao.org/aos/geopolitical.owl#western_Europe","western Europe"
"World","regions","","","0","","","World","","http://aims.fao.org/aos/geopolitical.owl#World","World"
