"agLR Repository tool","metadata_tool","","","0",""
"AgriDrupal","metadata_tool","","","-1",""
"Agris MetaMaker","metadata_tool","","","-1",""
"Cyberleninka","metadata_tool","","","0",""
"DOAJ","metadata_tool","","","0",""
"Dspace","metadata_tool","","","-1",""
"Elibrary (RISC)","metadata_tool","","","0",""
"InMagic","metadata_tool","","","-1",""
"Mendeley","metadata_tool","","","-1",""
"Not sure","metadata_tool","","","0",""
"Open Journal System","metadata_tool","","","-1",""
"WebAGRIS","metadata_tool","","","-1",""
