name, vocabulary_machine_name, description, format, weight, parent, description_field, field_iso3, field_linked_uris, field_old_geopolitical_ontology_, name_field, synonyms_synonyms, synonyms_synonyms, Term name
Botswana,countries,,,78,,,BWA,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Botswana,http://aims.fao.org/aos/geopolitical.owl#Botswana,Botswana,,,Botswana
Brazil,countries,,,70,,,BRA,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Brazil,http://aims.fao.org/aos/geopolitical.owl#Brazil,Brazil,Brasil,Brésil,Brazil
British Indian Ocean Territory,countries,,,229,,,,,,British Indian Ocean Territory,,,British Indian Ocean Territory
British Virgin Islands,countries,,,505,,,,,,British Virgin Islands,,,British Virgin Islands
Brunei Darussalam,countries,,,75,,,BRN,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Brunei_Darussalam,http://aims.fao.org/aos/geopolitical.owl#Brunei_Darussalam,Brunei Darussalam,,,Brunei Darussalam
Bulgaria,countries,,,51,,,BGR,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Bulgaria,http://aims.fao.org/aos/geopolitical.owl#Bulgaria,Bulgaria,Bulgarie,,Bulgaria
Burkina Faso,countries,,,49,,,BFA,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Burkina_Faso,http://aims.fao.org/aos/geopolitical.owl#Burkina_Faso,Burkina Faso,,,Burkina Faso
Burundi,countries,,,41,,,BDI,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Burundi,http://aims.fao.org/aos/geopolitical.owl#Burundi,Burundi,,,Burundi
Cabo Verde,countries,,,107,,,,,,Cabo Verde,,,Cabo Verde
Cambodge,countries,,,264,,,,,,Cambodge,,,Cambodge
Cambodia,countries,,,262,,,KHM,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Cambodia,http://aims.fao.org/aos/geopolitical.owl#Cambodia,Cambodia,,,Cambodia
Camboya,countries,,,263,,,,,,Camboya,,,Camboya
Cameroon,countries,,,91,,,CMR,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Cameroon,http://aims.fao.org/aos/geopolitical.owl#Cameroon,Cameroon,,,Cameroon
Cameroun,countries,,,93,,,,,,Cameroun,,,Cameroun
Camerún,countries,,,92,,,,,,Camerún,,,Camerún
Canada,countries,,,82,,,CAN,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Canada,http://aims.fao.org/aos/geopolitical.owl#Canada,Canada,,,Canada
Cap-Vert,countries,,,108,,,,,,Cap-Vert,,,Cap-Vert
Cape Verde,countries,,,106,,,CPV,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Cape_Verde,http://aims.fao.org/aos/geopolitical.owl#Cape_Verde,Cape Verde,,,Cape Verde
Caribbean,countries,,plain_text,0,,,,,,Caribbean,,,Caribbean
Cayman Islands,countries,,,113,,,,,,Cayman Islands,,,Cayman Islands
CÃ´te d'Ivoire,countries,,,0,,,CIV,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Cote_d_Ivoire,http://aims.fao.org/aos/geopolitical.owl#Cote_d_Ivoire,CÃ´te d'Ivoire,,,CÃ´te d'Ivoire
Central African Republic,countries,,,79,,,CAF,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Central_African_Republic_the,http://aims.fao.org/aos/geopolitical.owl#Central_African_Republic_the,Central African Republic,,,Central African Republic
Central America,countries,,plain_text,0,,,,,,Central America,,,Central America
Central Asia,countries,,plain_text,0,,,,,,Central Asia,,,Central Asia
Chad,countries,,,461,,,TCD,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Chad,http://aims.fao.org/aos/geopolitical.owl#Chad,Chad,,,Chad
Chile,countries,,,86,,,CHL,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Chile,http://aims.fao.org/aos/geopolitical.owl#Chile,Chile,,,Chile
Chili,countries,,,87,,,,,,Chili,,,Chili
China,countries,,,88,,,CHN,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/China,http://aims.fao.org/aos/geopolitical.owl#China,China,,,China
Chine,countries,,,89,,,,,,Chine,,,Chine
Chipre,countries,,,120,,,,,,Chipre,,,Chipre
Chypre,countries,,,121,,,,,,Chypre,,,Chypre
Chypre du Nord,countries,,,118,,,,,,Chypre du Nord,,,Chypre du Nord
Colombia,countries,,,101,,,COL,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Colombia,http://aims.fao.org/aos/geopolitical.owl#Colombia,Colombia,,,Colombia
Colombie,countries,,,102,,,,,,Colombie,,,Colombie
Comoras,countries,,,104,,,,,,Comoras,,,Comoras
Comores,countries,,,105,,,,,,Comores,,,Comores
Comoros,countries,,,103,,,COM,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Comoros_the,http://aims.fao.org/aos/geopolitical.owl#Comoros_the,Comoros,,,Comoros
Congo,countries,,,97,,,COG,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Congo_the,http://aims.fao.org/aos/geopolitical.owl#Congo_the,Congo,,,Congo
"Congo, Dem. Rep.",countries,,plain_text,0,,,,,,"Congo, Dem. Rep.",,,"Congo, Dem. Rep."
"Congo, Rep.",countries,,plain_text,0,,,,,,"Congo, Rep.",,,"Congo, Rep."
Cook Islands,countries,,,98,,,COK,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Cook_Islands_the,http://aims.fao.org/aos/geopolitical.owl#Cook_Islands_the,Cook Islands,,,Cook Islands
Corea,countries,,,383,,,,,,Corea,,,Corea
Corée,countries,,,384,,,,,,Corée,,,Corée
Costa Rica,countries,,,109,,,CRI,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Costa_Rica,http://aims.fao.org/aos/geopolitical.owl#Costa_Rica,Costa Rica,,,Costa Rica
Côte d'Ivoire,countries,,,90,,,,,,Côte d'Ivoire,,,Côte d'Ivoire
Croacia,countries,,,213,,,,,,Croacia,,,Croacia
Croatia,countries,,,212,,,HRV,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Croatia,http://aims.fao.org/aos/geopolitical.owl#Croatia,Croatia,,,Croatia
Croatie,countries,,,214,,,,,,Croatie,,,Croatie
Cuba,countries,,,110,,,CUB,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Cuba,http://aims.fao.org/aos/geopolitical.owl#Cuba,Cuba,,,Cuba
Curaçao,countries,,,112,,,,,,Curaçao,,,Curaçao
Curaþao,countries,,,111,,,,,,Curaþao,,,Curaþao
Cyprus,countries,,,119,,,CYP,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Cyprus,http://aims.fao.org/aos/geopolitical.owl#Cyprus,Cyprus,,,Cyprus
Czech Republic,countries,,,122,,,CZE,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Czech_Republic_the,http://aims.fao.org/aos/geopolitical.owl#Czech_Republic_the,Czech Republic,,,Czech Republic
Danemark,countries,,,133,,,,,,Danemark,,,Danemark
Democratic Republic of the Congo,countries,,,94,,,COD,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Democratic_Republic_of_the_Congo,http://aims.fao.org/aos/geopolitical.owl#Democratic_Republic_of_the_Congo,Democratic Republic of the Congo,,,Democratic Republic of the Congo
Denmark,countries,,,131,,,DNK,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Denmark,http://aims.fao.org/aos/geopolitical.owl#Denmark,Denmark,,,Denmark
Dinamarca,countries,,,132,,,,,,Dinamarca,,,Dinamarca
Djibouti,countries,,,128,,,DJI,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Djibouti,http://aims.fao.org/aos/geopolitical.owl#Djibouti,Djibouti,,,Djibouti
Dominica,countries,,,129,,,DMA,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Dominica,http://aims.fao.org/aos/geopolitical.owl#Dominica,Dominica,,,Dominica
Dominican Republic,countries,,,134,,,DOM,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Dominican_Republic_the,http://aims.fao.org/aos/geopolitical.owl#Dominican_Republic_the,Dominican Republic,,,Dominican Republic
Dominique,countries,,,130,,,,,,Dominique,,,Dominique
East Africa,countries,,plain_text,0,,,,,,East Africa,,,East Africa
East Asia & Pacific,countries,,plain_text,0,,,,,,East Asia & Pacific,,,East Asia & Pacific
Eastern Europe,countries,,plain_text,0,,,,,,Eastern Europe,,,Eastern Europe
Ecuador,countries,,,140,,,ECU,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Ecuador,http://aims.fao.org/aos/geopolitical.owl#Ecuador,Ecuador,,,Ecuador
Egipto,countries,,,143,,,,,,Egipto,,,Egipto
Egypt,countries,,,142,,,EGY,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Egypt,http://aims.fao.org/aos/geopolitical.owl#Egypt,Egypt,,,Egypt
Égypte,countries,,,144,,,,,,Égypte,,,Égypte
el Iraq,countries,,,237,,,,,,el Iraq,,,el Iraq
El Salvador,countries,,,423,,,SLV,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/El_Salvador,http://aims.fao.org/aos/geopolitical.owl#El_Salvador,El Salvador,,,El Salvador
el Yemen,countries,,,518,,,,,,el Yemen,,,el Yemen
Emiratos Árabes Unidos,countries,,,13,,,,,,Emiratos Árabes Unidos,,,Emiratos Árabes Unidos
Émirats arabes unis,countries,,,14,,,,,,Émirats arabes unis,,,Émirats arabes unis
Équateur,countries,,,141,,,,,,Équateur,,,Équateur
Equatorial Guinea,countries,,,188,,,GNQ,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Equatorial_Guinea,http://aims.fao.org/aos/geopolitical.owl#Equatorial_Guinea,Equatorial Guinea,,,Equatorial Guinea
Eritrea,countries,,,145,,,ERI,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Eritrea,http://aims.fao.org/aos/geopolitical.owl#Eritrea,Eritrea,,,Eritrea
Érythrée,countries,,,146,,,,,,Érythrée,,,Érythrée
Eslovaquia,countries,,,443,,,,,,Eslovaquia,,,Eslovaquia
Eslovenia,countries,,,446,,,,,,Eslovenia,,,Eslovenia
Espagne,countries,,,149,,,,,,Espagne,,,Espagne
España,countries,,,148,,,,,,España,,,España
Estados Unidos de América,countries,,,494,,,,,,Estados Unidos de América,,,Estados Unidos de América
Estonia,countries,,,150,,,EST,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Estonia,http://aims.fao.org/aos/geopolitical.owl#Estonia,Estonia,,,Estonia
Estonie,countries,,,151,,,,,,Estonie,,,Estonie
États-Unis d'Amérique,countries,,,495,,,,,,États-Unis d'Amérique,,,États-Unis d'Amérique
Ethiopia,countries,,,152,,,ETH,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Ethiopia,http://aims.fao.org/aos/geopolitical.owl#Ethiopia,Ethiopia,,,Ethiopia
Éthiopie,countries,,,154,,,,,,Éthiopie,,,Éthiopie
Etiopía,countries,,,153,,,,,,Etiopía,,,Etiopía
Europe,countries,,plain_text,8,,,,,,Europe,,,Europe
Falkland Islands,countries,,,160,,,,,,Falkland Islands,,,Falkland Islands
Falkland Islands (Malvinas),countries,,plain_text,0,,,,,,Falkland Islands (Malvinas),,,Falkland Islands (Malvinas)
Faroe Islands,countries,,,165,,,FRO,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Faroe_Islands,http://aims.fao.org/aos/geopolitical.owl#Faroe_Islands,Faroe Islands,,,Faroe Islands
Fédération de Russie,countries,,,399,,,,,,Fédération de Russie,,,Fédération de Russie
Fidji,countries,,,159,,,,,,Fidji,,,Fidji
Fiji,countries,,,158,,,FJI,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Fiji,http://aims.fao.org/aos/geopolitical.owl#Fiji,Fiji,,,Fiji
Filipinas,countries,,,371,,,,,,Filipinas,,,Filipinas
Finland,countries,,,155,,,FIN,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Finland,http://aims.fao.org/aos/geopolitical.owl#Finland,Finland,,,Finland
Finlande,countries,,,157,,,,,,Finlande,,,Finlande
Finlandia,countries,,,156,,,,,,Finlandia,,,Finlandia
France,countries,,,163,,,FRA,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/France,http://aims.fao.org/aos/geopolitical.owl#France,France,,,France
Francia,countries,,,164,,,,,,Francia,,,Francia
French Guiana,countries,,,201,,,,,,French Guiana,,,French Guiana
French Polynesia,countries,,,389,,,,,,French Polynesia,,,French Polynesia
French Southern and Antarctic Lands,countries,,,28,,,,,,French Southern and Antarctic Lands,,,French Southern and Antarctic Lands
Gabon,countries,,,170,,,GAB,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Gabon,http://aims.fao.org/aos/geopolitical.owl#Gabon,Gabon,,,Gabon
Gambia,countries,,,184,,,GMB,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Gambia__the,http://aims.fao.org/aos/geopolitical.owl#Gambia__the,Gambia,,,Gambia
Gambie,countries,,,185,,,,,,Gambie,,,Gambie
Georgia,countries,,,174,,,GEO,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Georgia,http://aims.fao.org/aos/geopolitical.owl#Georgia,Georgia,,,Georgia
Géorgie,countries,,,175,,,,,,Géorgie,,,Géorgie
Géorgie du Sud-et-les Îles Sandwich du Sud,countries,,,414,,,,,,Géorgie du Sud-et-les Îles Sandwich du Sud,,,Géorgie du Sud-et-les Îles Sandwich du Sud
Germany,countries,,,125,,,DEU,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Germany,http://aims.fao.org/aos/geopolitical.owl#Germany,Germany,Alemania,Allemagne,Germany
Ghana,countries,,,178,,,GHA,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Ghana,http://aims.fao.org/aos/geopolitical.owl#Ghana,Ghana,,,Ghana
Gibraltar,countries,,,179,,,,,,Gibraltar,,,Gibraltar
Glaciar de Siachen,countries,,,254,,,,,,Glaciar de Siachen,,,Glaciar de Siachen
Glacier de Siachen,countries,,,255,,,,,,Glacier de Siachen,,,Glacier de Siachen
Global,countries,,plain_text,-2,,,,,,Global,,,Global
Granada,countries,,,195,,,,,,Granada,,,Granada
Grèce,countries,,,193,,,,,,Grèce,,,Grèce
Grecia,countries,,,192,,,,,,Grecia,,,Grecia
Greece,countries,,,191,,,GRC,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Greece,http://aims.fao.org/aos/geopolitical.owl#Greece,Greece,,,Greece
Greenland,countries,,,197,,,,,,Greenland,,,Greenland
Grenada,countries,,,194,,,GRD,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Grenada,http://aims.fao.org/aos/geopolitical.owl#Grenada,Grenada,,,Grenada
Grenade,countries,,,196,,,,,,Grenade,,,Grenade
Groenland,countries,,,199,,,,,,Groenland,,,Groenland
Groenlandia,countries,,,198,,,,,,Groenlandia,,,Groenlandia
Guadalupe,countries,,,183,,,,,,Guadalupe,,,Guadalupe
Guadeloupe,countries,,,182,,,,,,Guadeloupe,,,Guadeloupe
Guam,countries,,,202,,,,,,Guam,,,Guam
Guatemala,countries,,,200,,,GTM,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Guatemala,http://aims.fao.org/aos/geopolitical.owl#Guatemala,Guatemala,,,Guatemala
Guayana francesa,countries,,,203,,,,,,Guayana francesa,,,Guayana francesa
Guernesey,countries,,,177,,,,,,Guernesey,,,Guernesey
Guernsey,countries,,,176,,,,,,Guernsey,,,Guernsey
Guinea,countries,,,180,,,GIN,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Guinea,http://aims.fao.org/aos/geopolitical.owl#Guinea,Guinea,,,Guinea
