name, vocabulary_machine_name, description, format, weight, parent, description_field, field_iso3, field_linked_uris, field_old_geopolitical_ontology_, name_field, synonyms_synonyms, synonyms_synonyms, Term name
Islas Cook,countries,,,99,,,,,,Islas Cook,,,Islas Cook
Islas Feroe,countries,,,166,,,,,,Islas Feroe,,,Islas Feroe
Islas Georgias del Sur y Sandwich del Sur,countries,,,413,,,,,,Islas Georgias del Sur y Sandwich del Sur,,,Islas Georgias del Sur y Sandwich del Sur
Islas Heard y McDonald,countries,,,209,,,,,,Islas Heard y McDonald,,,Islas Heard y McDonald
Islas Malvinas,countries,,,161,,,,,,Islas Malvinas,,,Islas Malvinas
Islas Marianas del Norte,countries,,,323,,,,,,Islas Marianas del Norte,,,Islas Marianas del Norte
Islas Marshall,countries,,,311,,,,,,Islas Marshall,,,Islas Marshall
Islas Pitcairn,countries,,,366,,,,,,Islas Pitcairn,,,Islas Pitcairn
Islas Salomón,countries,,,419,,,,,,Islas Salomón,,,Islas Salomón
Islas Turcas y Caicos,countries,,,459,,,,,,Islas Turcas y Caicos,,,Islas Turcas y Caicos
Islas Vírgenes,countries,,,506,,,,,,Islas Vírgenes,,,Islas Vírgenes
Islas Vírgenes de los Estados Unidos,countries,,,509,,,,,,Islas Vírgenes de los Estados Unidos,,,Islas Vírgenes de los Estados Unidos
Islas Wallis y Futuna,countries,,,514,,,,,,Islas Wallis y Futuna,,,Islas Wallis y Futuna
Isle of Man,countries,,,221,,,,,,Isle of Man,,,Isle of Man
Israel,countries,,,241,,,ISR,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Israel,http://aims.fao.org/aos/geopolitical.owl#Israel,Israel,,,Israel
Italia,countries,,,243,,,,,,Italia,,,Italia
Italie,countries,,,244,,,,,,Italie,,,Italie
Italy,countries,,,242,,,ITA,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Italy,http://aims.fao.org/aos/geopolitical.owl#Italy,Italy,,,Italy
Jamaica,countries,,,245,,,JAM,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Jamaica,http://aims.fao.org/aos/geopolitical.owl#Jamaica,Jamaica,,,Jamaica
Jamaïque,countries,,,246,,,,,,Jamaïque,,,Jamaïque
Japan,countries,,,251,,,JPN,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Japan,http://aims.fao.org/aos/geopolitical.owl#Japan,Japan,,,Japan
Japón,countries,,,252,,,,,,Japón,,,Japón
Jersey,countries,,,247,,,,,,Jersey,,,Jersey
Jordan,countries,,,248,,,JOR,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Jordan,http://aims.fao.org/aos/geopolitical.owl#Jordan,Jordan,,,Jordan
Jordania,countries,,,249,,,,,,Jordania,,,Jordania
Jordanie,countries,,,250,,,,,,Jordanie,,,Jordanie
Kazajstán,countries,,,257,,,,,,Kazajstán,,,Kazajstán
Kazakhstan,countries,,,256,,,KAZ,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Kazakhstan,http://aims.fao.org/aos/geopolitical.owl#Kazakhstan,Kazakhstan,,,Kazakhstan
Kenya,countries,,,258,,,KEN,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Kenya,http://aims.fao.org/aos/geopolitical.owl#Kenya,Kenya,,,Kenya
Kirghizistan,countries,,,261,,,,,,Kirghizistan,,,Kirghizistan
Kirguistán,countries,,,260,,,,,,Kirguistán,,,Kirguistán
Kiribati,countries,,,265,,,KIR,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Kiribati,http://aims.fao.org/aos/geopolitical.owl#Kiribati,Kiribati,,,Kiribati
Korea,countries,,,382,,,PRK,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Democratic_People_s_Republic_of_Korea_the,http://aims.fao.org/aos/geopolitical.owl#Democratic_People_s_Republic_of_Korea_the,Korea,,,Korea
Kosovo,countries,,,272,,,,,,Kosovo,,,Kosovo
Koweït,countries,,,274,,,,,,Koweït,,,Koweït
Kuwait,countries,,,273,,,KWT,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Kuwait,http://aims.fao.org/aos/geopolitical.owl#Kuwait,Kuwait,,,Kuwait
Kyrgyzstan,countries,,,259,,,KGZ,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Kyrgyzstan,http://aims.fao.org/aos/geopolitical.owl#Kyrgyzstan,Kyrgyzstan,,,Kyrgyzstan
Lao,countries,,,275,,,LAO,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Lao_People_s_Democratic_Republic__the,http://aims.fao.org/aos/geopolitical.owl#Lao_People_s_Democratic_Republic__the,Lao,,,Lao
Laos,countries,,plain_text,0,,,,,,Laos,,,Laos
Latin America,countries,,plain_text,7,,,,,,Latin America,,,Latin America
Latvia,countries,,,294,,,LVA,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Latvia,http://aims.fao.org/aos/geopolitical.owl#Latvia,Latvia,,,Latvia
Lebanon,countries,,,276,,,LBN,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Lebanon,http://aims.fao.org/aos/geopolitical.owl#Lebanon,Lebanon,,,Lebanon
Lesotho,countries,,,288,,,LSO,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Lesotho,http://aims.fao.org/aos/geopolitical.owl#Lesotho,Lesotho,,,Lesotho
Letonia,countries,,,295,,,,,,Letonia,,,Letonia
Lettonie,countries,,,296,,,,,,Lettonie,,,Lettonie
Liban,countries,,,278,,,,,,Liban,,,Liban
Líbano,countries,,,277,,,,,,Líbano,,,Líbano
Liberia,countries,,,279,,,LBR,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Liberia,http://aims.fao.org/aos/geopolitical.owl#Liberia,Liberia,,,Liberia
Libia,countries,,,281,,,,,,Libia,,,Libia
Libya,countries,,,280,,,LBY,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Libya,http://aims.fao.org/aos/geopolitical.owl#Libya,Libya,,,Libya
Libye,countries,,,282,,,,,,Libye,,,Libye
Liechtenstein,countries,,,286,,,LIE,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Liechtenstein,http://aims.fao.org/aos/geopolitical.owl#Liechtenstein,Liechtenstein,,,Liechtenstein
Lithuania,countries,,,289,,,LTU,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Lithuania,http://aims.fao.org/aos/geopolitical.owl#Lithuania,Lithuania,,,Lithuania
Lituania,countries,,,290,,,,,,Lituania,,,Lituania
Lituanie,countries,,,291,,,,,,Lituanie,,,Lituanie
Luxembourg,countries,,,292,,,LUX,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Luxembourg,http://aims.fao.org/aos/geopolitical.owl#Luxembourg,Luxembourg,,,Luxembourg
Luxemburgo,countries,,,293,,,,,,Luxemburgo,,,Luxemburgo
Macao,countries,,,298,,,,,,Macao,,,Macao
Macao S.A.R,countries,,,297,,,,,,Macao S.A.R,,,Macao S.A.R
"Macao S.A.R., China",countries,,plain_text,0,,,,,,"Macao S.A.R., China",,,"Macao S.A.R., China"
Macédoine,countries,,,314,,,,,,Macédoine,,,Macédoine
Macedonia,countries,,,313,,,MKD,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/The_former_Yugoslav_Republic_of_Macedonia,http://aims.fao.org/aos/geopolitical.owl#The_former_Yugoslav_Republic_of_Macedonia,Macedonia,,,Macedonia
Madagascar,countries,,,305,,,MDG,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Madagascar,http://aims.fao.org/aos/geopolitical.owl#Madagascar,Madagascar,,,Madagascar
MadeUpCountry,countries,,,0,,,,,,MadeUpCountry,,,MadeUpCountry
Malaisie,countries,,,337,,,,,,Malaisie,,,Malaisie
Malasia,countries,,,336,,,,,,Malasia,,,Malasia
Malawi,countries,,,334,,,MWI,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Malawi,http://aims.fao.org/aos/geopolitical.owl#Malawi,Malawi,,,Malawi
Malaysia,countries,,,335,,,MYS,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Malaysia,http://aims.fao.org/aos/geopolitical.owl#Malaysia,Malaysia,,,Malaysia
Maldivas,countries,,,307,,,,,,Maldivas,,,Maldivas
Maldives,countries,,,306,,,MDV,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Maldives,http://aims.fao.org/aos/geopolitical.owl#Maldives,Maldives,,,Maldives
Mali,countries,,,315,,,MLI,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Mali,http://aims.fao.org/aos/geopolitical.owl#Mali,Mali,,,Mali
Malta,countries,,,316,,,MLT,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Malta,http://aims.fao.org/aos/geopolitical.owl#Malta,Malta,,,Malta
Malte,countries,,,317,,,,,,Malte,,,Malte
Maroc,countries,,,302,,,,,,Maroc,,,Maroc
Marruecos,countries,,,301,,,,,,Marruecos,,,Marruecos
Marshall Islands,countries,,,310,,,MHL,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Marshall_Islands__the,http://aims.fao.org/aos/geopolitical.owl#Marshall_Islands__the,Marshall Islands,,,Marshall Islands
Martinica,countries,,,330,,,,,,Martinica,,,Martinica
Martinique,countries,,,329,,,,,,Martinique,,,Martinique
Maurice,countries,,,333,,,,,,Maurice,,,Maurice
Mauricio,countries,,,332,,,,,,Mauricio,,,Mauricio
Mauritania,countries,,,326,,,MRT,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Mauritania,http://aims.fao.org/aos/geopolitical.owl#Mauritania,Mauritania,,,Mauritania
Mauritanie,countries,,,327,,,,,,Mauritanie,,,Mauritanie
Mauritius,countries,,,331,,,MUS,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Mauritius,http://aims.fao.org/aos/geopolitical.owl#Mauritius,Mauritius,,,Mauritius
Mexico,countries,,,308,,,MEX,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Mexico,http://aims.fao.org/aos/geopolitical.owl#Mexico,Mexico,,,Mexico
Mexique,countries,,,309,,,,,,Mexique,,,Mexique
Micronesia,countries,,,168,,,FSM,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Micronesia__Fed_States_of_,http://aims.fao.org/aos/geopolitical.owl#Micronesia__Fed_States_of_,Micronesia,,,Micronesia
"Micronesia, Fed. Sts.",countries,,plain_text,0,,,,,,"Micronesia, Fed. Sts.",,,"Micronesia, Fed. Sts."
Micronésie,countries,,,169,,,,,,Micronésie,,,Micronésie
Middle East,countries,,plain_text,0,,,,,,Middle East,,,Middle East
Moldova,countries,,,304,,,MDA,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Republic_of_Moldova,http://aims.fao.org/aos/geopolitical.owl#Republic_of_Moldova,Moldova,,,Moldova
Monaco,countries,,,303,,,MCO,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Monaco,http://aims.fao.org/aos/geopolitical.owl#Monaco,Monaco,,,Monaco
Mongolia,countries,,,320,,,MNG,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Mongolia,http://aims.fao.org/aos/geopolitical.owl#Mongolia,Mongolia,,,Mongolia
Mongolie,countries,,,321,,,,,,Mongolie,,,Mongolie
Montenegro,countries,,,319,,,MNE,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Montenegro,http://aims.fao.org/aos/geopolitical.owl#Montenegro,Montenegro,,,Montenegro
Montserrat,countries,,,328,,,,,,Montserrat,,,Montserrat
Morocco,countries,,,300,,,MAR,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Morocco,http://aims.fao.org/aos/geopolitical.owl#Morocco,Morocco,,,Morocco
Mozambique,countries,,,325,,,MOZ,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Mozambique,http://aims.fao.org/aos/geopolitical.owl#Mozambique,Mozambique,,,Mozambique
Myanmar,countries,,,318,,,MMR,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Myanmar,http://aims.fao.org/aos/geopolitical.owl#Myanmar,Myanmar,,,Myanmar
Namibia,countries,,,338,,,NAM,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Namibia,http://aims.fao.org/aos/geopolitical.owl#Namibia,Namibia,,,Namibia
Namibie,countries,,,339,,,,,,Namibie,,,Namibie
Nauru,countries,,,358,,,NRU,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Nauru,http://aims.fao.org/aos/geopolitical.owl#Nauru,Nauru,,,Nauru
Nepal,countries,,,357,,,NPL,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Nepal,http://aims.fao.org/aos/geopolitical.owl#Nepal,Nepal,,,Nepal
Netherlands,countries,,,351,,,NLD,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Netherlands_the,http://aims.fao.org/aos/geopolitical.owl#Netherlands_the,Netherlands,,,Netherlands
Netherlands Antilles,countries,,plain_text,0,,,,,,Netherlands Antilles,,,Netherlands Antilles
New Caledonia,countries,,,340,,,,,,New Caledonia,,,New Caledonia
New Zealand,countries,,,359,,,NZL,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/New_Zealand,http://aims.fao.org/aos/geopolitical.owl#New_Zealand,New Zealand,,,New Zealand
Nicaragua,countries,,,348,,,NIC,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Nicaragua,http://aims.fao.org/aos/geopolitical.owl#Nicaragua,Nicaragua,,,Nicaragua
Niger,countries,,,343,,,NER,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Niger_the,http://aims.fao.org/aos/geopolitical.owl#Niger_the,Niger,,,Niger
Nigeria,countries,,,347,,,NGA,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Nigeria,http://aims.fao.org/aos/geopolitical.owl#Nigeria,Nigeria,,,Nigeria
Nioué,countries,,,350,,,,,,Nioué,,,Nioué
Niue,countries,,,349,,,NIU,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Niue,http://aims.fao.org/aos/geopolitical.owl#Niue,Niue,,,Niue
Norfolk Island,countries,,,344,,,,,,Norfolk Island,,,Norfolk Island
North Africa,countries,,plain_text,4,,,,,,North Africa,,,North Africa
North America,countries,,plain_text,10,,,,,,North America,,,North America
North Korea,countries,,plain_text,0,,,,,,North Korea,,,North Korea
Northern Cyprus,countries,,,116,,,,,,Northern Cyprus,,,Northern Cyprus
Northern Mariana Islands,countries,,,322,,,,,,Northern Mariana Islands,,,Northern Mariana Islands
Noruega,countries,,,355,,,,,,Noruega,,,Noruega
Norvège,countries,,,356,,,,,,Norvège,,,Norvège
Norway,countries,,,354,,,NOR,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Norway,http://aims.fao.org/aos/geopolitical.owl#Norway,Norway,,,Norway
Nouvelle-Calédonie,countries,,,342,,,,,,Nouvelle-Calédonie,,,Nouvelle-Calédonie
Nouvelle-Zélande,countries,,,361,,,,,,Nouvelle-Zélande,,,Nouvelle-Zélande
Nueva Caledonia,countries,,,341,,,,,,Nueva Caledonia,,,Nueva Caledonia
Nueva Zelandia,countries,,,360,,,,,,Nueva Zelandia,,,Nueva Zelandia
Oceania,countries,,plain_text,11,,,,,,Oceania,,,Oceania
Oman,countries,,,362,,,OMN,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Oman,http://aims.fao.org/aos/geopolitical.owl#Oman,Oman,,,Oman
Ouganda,countries,,,489,,,,,,Ouganda,,,Ouganda
Ouzbékistan,countries,,,497,,,,,,Ouzbékistan,,,Ouzbékistan
Países Bajos,countries,,,352,,,,,,Países Bajos,,,Países Bajos
Pakistan,countries,,,363,,,PAK,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Pakistan,http://aims.fao.org/aos/geopolitical.owl#Pakistan,Pakistan,,,Pakistan
Palaos,countries,,,373,,,,,,Palaos,,,Palaos
Palau,countries,,,372,,,PLW,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Palau,http://aims.fao.org/aos/geopolitical.owl#Palau,Palau,,,Palau
Palestina,countries,,,388,,,,,,Palestina,,,Palestina
Palestine,countries,,,387,,,,,,Palestine,,,Palestine
Panama,countries,,,364,,,PAN,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Panama,http://aims.fao.org/aos/geopolitical.owl#Panama,Panama,,,Panama
Papouasie-Nouvelle-Guinée,countries,,,376,,,,,,Papouasie-Nouvelle-Guinée,,,Papouasie-Nouvelle-Guinée
Papua New Guinea,countries,,,374,,,PNG,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Papua_New_Guinea,http://aims.fao.org/aos/geopolitical.owl#Papua_New_Guinea,Papua New Guinea,,,Papua New Guinea
Papua Nueva Guinea,countries,,,375,,,,,,Papua Nueva Guinea,,,Papua Nueva Guinea
Paraguay,countries,,,386,,,PRY,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Paraguay,http://aims.fao.org/aos/geopolitical.owl#Paraguay,Paraguay,,,Paraguay
Pays-Bas,countries,,,353,,,,,,Pays-Bas,,,Pays-Bas
Pérou,countries,,,369,,,,,,Pérou,,,Pérou
Peru,countries,,,368,,,PER,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Peru,http://aims.fao.org/aos/geopolitical.owl#Peru,Peru,,,Peru
Philippines,countries,,,370,,,PHL,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Philippines__the,http://aims.fao.org/aos/geopolitical.owl#Philippines__the,Philippines,,,Philippines
Pitcairn Islands,countries,,,365,,,,,,Pitcairn Islands,,,Pitcairn Islands
Poland,countries,,,377,,,POL,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Poland,http://aims.fao.org/aos/geopolitical.owl#Poland,Poland,,,Poland
Polinesia Francesa,countries,,,390,,,,,,Polinesia Francesa,,,Polinesia Francesa
Pologne,countries,,,379,,,,,,Pologne,,,Pologne
Polonia,countries,,,378,,,,,,Polonia,,,Polonia
Polynésie française,countries,,,391,,,,,,Polynésie française,,,Polynésie française
Porto Rico,countries,,,381,,,,,,Porto Rico,,,Porto Rico
Portugal,countries,,,385,,,PRT,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Portugal,http://aims.fao.org/aos/geopolitical.owl#Portugal,Portugal,,,Portugal
Puerto Rico,countries,,,380,,,,,,Puerto Rico,,,Puerto Rico
Qatar,countries,,,392,,,QAT,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Qatar,http://aims.fao.org/aos/geopolitical.owl#Qatar,Qatar,,,Qatar
Reino Unido,countries,,,172,,,,,,Reino Unido,,,Reino Unido
Republic of Korea,countries,,,269,,,KOR,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Republic_of_Korea__the,http://aims.fao.org/aos/geopolitical.owl#Republic_of_Korea__the,Republic of Korea,,,Republic of Korea
República Centroafricana,countries,,,80,,,,,,República Centroafricana,,,República Centroafricana
República Checa,countries,,,123,,,,,,República Checa,,,República Checa
República de Corea,countries,,,270,,,,,,República de Corea,,,República de Corea
República Democrática del Congo,countries,,,95,,,,,,República Democrática del Congo,,,República Democrática del Congo
República Dominicana,countries,,,135,,,,,,República Dominicana,,,República Dominicana
República Turca del Norte de Chipre,countries,,,117,,,,,,República Turca del Norte de Chipre,,,República Turca del Norte de Chipre
République arabe syrienne,countries,,,457,,,,,,République arabe syrienne,,,République arabe syrienne
République centrafricaine,countries,,,81,,,,,,République centrafricaine,,,République centrafricaine
République de Corée,countries,,,271,,,,,,République de Corée,,,République de Corée
République démocratique du Congo,countries,,,96,,,,,,République démocratique du Congo,,,République démocratique du Congo
République dominicaine,countries,,,136,,,,,,République dominicaine,,,République dominicaine
République tchèque,countries,,,124,,,,,,République tchèque,,,République tchèque
République-Unie de Tanzanie,countries,,,487,,,,,,République-Unie de Tanzanie,,,République-Unie de Tanzanie
Reunión,countries,,,394,,,,,,Reunión,,,Reunión
Romania,countries,,,393,,,ROU,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Romania,http://aims.fao.org/aos/geopolitical.owl#Romania,Romania,,,Romania
Roumanie,countries,,,396,,,,,,Roumanie,,,Roumanie
Royaume-Uni,countries,,,173,,,,,,Royaume-Uni,,,Royaume-Uni
Rumania,countries,,,395,,,,,,Rumania,,,Rumania
Rusia,countries,,,398,,,,,,Rusia,,,Rusia
Russia,countries,,,397,,,RUS,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Russian_Federation__the,http://aims.fao.org/aos/geopolitical.owl#Russian_Federation__the,Russia,,,Russia
Rwanda,countries,,,400,,,RWA,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Rwanda,http://aims.fao.org/aos/geopolitical.owl#Rwanda,Rwanda,,,Rwanda
Sahara Occidental,countries,,,402,,,,,,Sahara Occidental,,,Sahara Occidental
Saint Barthélemy,countries,,,59,,,,,,Saint Barthélemy,,,Saint Barthélemy
"Saint Helena, Ascension and Tristan da Cunha",countries,,,415,,,,,,"Saint Helena, Ascension and Tristan da Cunha",,,"Saint Helena, Ascension and Tristan da Cunha"
Saint Kitts and Nevis,countries,,,266,,,KNA,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Saint_Kitts_and_Nevis,http://aims.fao.org/aos/geopolitical.owl#Saint_Kitts_and_Nevis,Saint Kitts and Nevis,,,Saint Kitts and Nevis
Saint Kitts y Nevis,countries,,,267,,,,,,Saint Kitts y Nevis,,,Saint Kitts y Nevis
Saint Lucia,countries,,,283,,,LCA,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Saint_Lucia,http://aims.fao.org/aos/geopolitical.owl#Saint_Lucia,Saint Lucia,,,Saint Lucia
Saint Pierre and Miquelon,countries,,,430,,,,,,Saint Pierre and Miquelon,,,Saint Pierre and Miquelon
Saint Vincent and Grenadines,countries,,plain_text,0,,,,,,Saint Vincent and Grenadines,,,Saint Vincent and Grenadines
Saint Vincent and the Grenadines,countries,,,501,,,VCT,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Saint_Vincent_and_the_Grenadines,http://aims.fao.org/aos/geopolitical.owl#Saint_Vincent_and_the_Grenadines,Saint Vincent and the Grenadines,,,Saint Vincent and the Grenadines
Saint-Barthélemy,countries,,,61,,,,,,Saint-Barthélemy,,,Saint-Barthélemy
Saint-Kitts-et-Nevis,countries,,,268,,,,,,Saint-Kitts-et-Nevis,,,Saint-Kitts-et-Nevis
Saint-Marin,countries,,,425,,,,,,Saint-Marin,,,Saint-Marin
Saint-Martin,countries,,,299,,,,,,Saint-Martin,,,Saint-Martin
Saint-Pierre y Miquelon,countries,,,431,,,,,,Saint-Pierre y Miquelon,,,Saint-Pierre y Miquelon
Saint-Pierre-et-Miquelon,countries,,,432,,,,,,Saint-Pierre-et-Miquelon,,,Saint-Pierre-et-Miquelon
Saint-Siège,countries,,,500,,,,,,Saint-Siège,,,Saint-Siège
Saint-Vincent-et-les Grenadines,countries,,,503,,,,,,Saint-Vincent-et-les Grenadines,,,Saint-Vincent-et-les Grenadines
"Sainte-Hélène, Ascension et Tristan de Cunha",countries,,,417,,,,,,"Sainte-Hélène, Ascension et Tristan de Cunha",,,"Sainte-Hélène, Ascension et Tristan de Cunha"
Sainte-Lucie,countries,,,285,,,,,,Sainte-Lucie,,,Sainte-Lucie
Samoa,countries,,,516,,,WSM,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Samoa,http://aims.fao.org/aos/geopolitical.owl#Samoa,Samoa,American Samoa,,Samoa
Samoa américaines,countries,,,21,,,,,,Samoa américaines,,,Samoa américaines
Samoa Americana,countries,,,20,,,,,,Samoa Americana,,,Samoa Americana
San Bartolomé,countries,,,60,,,,,,San Bartolomé,,,San Bartolomé
San Marino,countries,,,424,,,SMR,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/San_Marino,http://aims.fao.org/aos/geopolitical.owl#San_Marino,San Marino,,,San Marino
San Vicente y las Granadinas,countries,,,502,,,,,,San Vicente y las Granadinas,,,San Vicente y las Granadinas
"Santa Elena, Ascension y Tristan da Cunha",countries,,,416,,,,,,"Santa Elena, Ascension y Tristan da Cunha",,,"Santa Elena, Ascension y Tristan da Cunha"
Santa Lucía,countries,,,284,,,,,,Santa Lucía,,,Santa Lucía
Santa Sede,countries,,,499,,,,,,Santa Sede,,,Santa Sede
Santo Tomé y Príncipe,countries,,,439,,,,,,Santo Tomé y Príncipe,,,Santo Tomé y Príncipe
Sao Tome and Principe,countries,,,438,,,STP,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Sao_Tome_and_Principe,http://aims.fao.org/aos/geopolitical.owl#Sao_Tome_and_Principe,Sao Tome and Principe,,,Sao Tome and Principe
Sao Tomé-et-Principe,countries,,,440,,,,,,Sao Tomé-et-Principe,,,Sao Tomé-et-Principe
Saudi Arabia,countries,,,403,,,SAU,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Saudi_Arabia,http://aims.fao.org/aos/geopolitical.owl#Saudi_Arabia,Saudi Arabia,Arabia Saudita,Arabie saoudite,Saudi Arabia
Senegal,countries,,,408,,,SEN,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Senegal,http://aims.fao.org/aos/geopolitical.owl#Senegal,Senegal,,,Senegal
Serbia,countries,,,433,,,SRB,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Serbia,http://aims.fao.org/aos/geopolitical.owl#Serbia,Serbia,,,Serbia
Serbie,countries,,,434,,,,,,Serbie,,,Serbie
Seychelles,countries,,,454,,,SYC,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Seychelles,http://aims.fao.org/aos/geopolitical.owl#Seychelles,Seychelles,,,Seychelles
Siachen Glacier,countries,,,253,,,,,,Siachen Glacier,,,Siachen Glacier
Sierra Leona,countries,,,422,,,,,,Sierra Leona,,,Sierra Leona
Sierra Leone,countries,,,421,,,SLE,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Sierra_Leone,http://aims.fao.org/aos/geopolitical.owl#Sierra_Leone,Sierra Leone,,,Sierra Leone
Singapore,countries,,,409,,,SGP,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Singapore,http://aims.fao.org/aos/geopolitical.owl#Singapore,Singapore,,,Singapore
Singapour,countries,,,411,,,,,,Singapour,,,Singapour
Singapur,countries,,,410,,,,,,Singapur,,,Singapur
Sint Maarten,countries,,,453,,,,,,Sint Maarten,,,Sint Maarten
Siria,countries,,,456,,,,,,Siria,,,Siria
Slovakia,countries,,,442,,,SVK,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Slovakia,http://aims.fao.org/aos/geopolitical.owl#Slovakia,Slovakia,,,Slovakia
Slovaquie,countries,,,444,,,,,,Slovaquie,,,Slovaquie
Slovenia,countries,,,445,,,SVN,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Slovenia,http://aims.fao.org/aos/geopolitical.owl#Slovenia,Slovenia,,,Slovenia
Slovénie,countries,,,447,,,,,,Slovénie,,,Slovénie
Solomon Islands,countries,,,418,,,SLB,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Solomon_Islands,http://aims.fao.org/aos/geopolitical.owl#Solomon_Islands,Solomon Islands,,,Solomon Islands
Somalia,countries,,,428,,,SOM,http://www.fao.org/countryprofiles/geoinfo/geopolitical/resource/Somalia,http://aims.fao.org/aos/geopolitical.owl#Somalia,Somalia,,,Somalia
Somalie,countries,,,429,,,,,,Somalie,,,Somalie
Somaliland,countries,,,426,,,,,,Somaliland,,,Somaliland
Somalilandia,countries,,,427,,,,,,Somalilandia,,,Somalilandia
Soudan,countries,,,407,,,,,,Soudan,,,Soudan
Soudan du Sud,countries,,,437,,,,,,Soudan du Sud,,,Soudan du Sud
